iter	TotalF1	MultiClass
0	0.8005843633	0.9778121027
1	0.8078242725	0.8932844703
2	0.8184316263	0.8295356921
3	0.8232198165	0.7723614801
4	0.8238852336	0.7272405406
5	0.8281298229	0.6866536634
6	0.8287305638	0.6548239208
7	0.8328553294	0.6226778806
8	0.8347041054	0.5964841323
9	0.8394936443	0.5691261256
10	0.8431166634	0.5480603143
11	0.8410158336	0.5281768338
12	0.8447513339	0.5095358291
13	0.8473849355	0.4955364617
14	0.8467797094	0.4834357744
15	0.8501078248	0.472650868
16	0.8513034605	0.461305719
17	0.8533273805	0.4530028176
18	0.8546195491	0.4463312379
19	0.8551942232	0.4380189519
20	0.8584637709	0.4315091629
21	0.8584637709	0.4252373103
22	0.8609995741	0.4175026608
23	0.8629758197	0.4115505047
24	0.8641467195	0.4038819813
25	0.8666804667	0.3985373525
26	0.8676167833	0.3946054189
27	0.8684102629	0.3900908719
28	0.8698484879	0.3863015599
29	0.8701706894	0.3847985038
30	0.8713789307	0.382073229
31	0.8725870671	0.3781161404
32	0.8738647976	0.3757106855
33	0.874389266	0.3726168599
34	0.8753765941	0.3693913309
35	0.8752571395	0.3672159536
36	0.8755234583	0.3631765017
37	0.8771081865	0.3595335716
38	0.8774543923	0.3566579914
39	0.8795395681	0.352993049
40	0.8801478321	0.3512982241
41	0.880800686	0.3491413418
42	0.8803380843	0.3465911195
43	0.8805028027	0.344586105
44	0.8804546554	0.3418944312
45	0.8804546554	0.3407681607
46	0.8807156903	0.3373596447
47	0.8820020689	0.3352699448
48	0.8820618132	0.3340432264
49	0.8840953681	0.3317984384
50	0.884312808	0.3303711638
51	0.8845136405	0.329101635
52	0.8858433263	0.3284449093
53	0.8852625354	0.3271011611
54	0.8852026408	0.3265156985
55	0.8853224283	0.3258427849
56	0.8852955782	0.3238749036
57	0.8857354957	0.32219101
58	0.8862149221	0.321041505
59	0.8865353704	0.319009443
60	0.8867834296	0.3165759083
61	0.8875027476	0.3150705998
62	0.8881437308	0.3136367394
63	0.8884641726	0.3134048145
64	0.8901801962	0.3113920957
65	0.8899326929	0.3102794417
66	0.890740635	0.3087774449
67	0.8909207112	0.3082497391
68	0.8900999332	0.3073061434
69	0.8906003627	0.3059171315
70	0.8910538049	0.30484688
71	0.8912410274	0.3033393011
72	0.8931512986	0.3020422941
73	0.8925887433	0.3006331222
74	0.8936461541	0.2986692357
75	0.8946131603	0.2971951504
76	0.8946732546	0.2958732683
77	0.8957273493	0.2934839985
78	0.8954303125	0.292346448
79	0.8956706202	0.2901996683
80	0.8959109053	0.2892921575
81	0.8962910602	0.2880673131
82	0.8971424933	0.2867669584
83	0.8990749598	0.284993643
84	0.8989545579	0.2836596164
85	0.8995483826	0.2824780372
86	0.8998818887	0.2816725714
87	0.9001829088	0.2799189351
88	0.9007626062	0.279151762
89	0.9008830244	0.277899909
90	0.9024360484	0.2764720224
91	0.9021795935	0.2753026265
92	0.9024174225	0.2747302469
93	0.902732968	0.2738019069
94	0.9032195045	0.2723341176
95	0.9032656483	0.2709493367
96	0.9042108836	0.2695787785
97	0.9070393812	0.2687966
98	0.9074657877	0.2674385679
99	0.9070083047	0.2653635032
100	0.9084556137	0.2642057523
101	0.9081501838	0.2634746299
102	0.9085157213	0.2624351633
103	0.9086398984	0.2617452827
104	0.9083274861	0.2601192943
105	0.9094892102	0.2592474585
106	0.9094892102	0.2584214334
107	0.9088782308	0.2577689471
108	0.9089386452	0.2570424727
109	0.90997594	0.2562647375
110	0.9097946372	0.2551295485
111	0.9101604651	0.2543771264
112	0.91088893	0.2534189904
113	0.9114996079	0.2527877815
114	0.9115569555	0.2515725541
115	0.9119971577	0.2505894407
116	0.9116919024	0.2495335278
117	0.912483716	0.2479183342
118	0.9126650496	0.2472869346
119	0.9126046062	0.2468436164
120	0.9130911621	0.2453852842
121	0.9140265572	0.2443896034
122	0.9129842087	0.2429330444
123	0.9146342287	0.241918767
124	0.9141450008	0.2410004837
125	0.9146921836	0.2401371599
126	0.9153024199	0.2397278456
127	0.9153024199	0.2391661731
128	0.9158027349	0.2388011852
129	0.9171488846	0.2375733111
130	0.9175123777	0.2361266931
131	0.9174517981	0.2350468092
132	0.9177704639	0.2340378768
133	0.9180752987	0.2328169225
134	0.9181358884	0.2317039934
135	0.919361724	0.2309234839
136	0.9189254233	0.2303489644
137	0.9191071818	0.228670739
138	0.9203245736	0.2280887567
139	0.921443428	0.2267129745
140	0.9218074071	0.226121962
141	0.9214420339	0.2254585864
142	0.9216239952	0.2246765971
143	0.9221091849	0.2237602867
144	0.92254863	0.2223900723
145	0.9235837487	0.2217610955
146	0.9240227462	0.221236885
147	0.9241440735	0.2207815739
148	0.9240834103	0.2190393205
149	0.9245698105	0.2180695708
150	0.9251299891	0.2173949458
151	0.9250683446	0.2167207338
152	0.9261900198	0.2160294431
153	0.9266025007	0.2153111914
154	0.9270412223	0.2148655769
155	0.9272845519	0.2144590541
156	0.9280141143	0.2139179615
157	0.9281356325	0.2129252288
158	0.9278923591	0.2125455564
159	0.9295944417	0.2115742914
160	0.9293638788	0.2112706643
161	0.9300322134	0.2106254077
162	0.9300322134	0.2100651776
163	0.9300930697	0.2095499798
164	0.9299715322	0.2084717284
165	0.9304575128	0.207897704
166	0.9318545691	0.2070514202
167	0.9313688573	0.2064856488
168	0.9318056738	0.2057299881
169	0.9333842817	0.2052506731
170	0.9332018297	0.2048681242
171	0.9335051926	0.2044746558
172	0.9338701202	0.2041529618
173	0.9342343076	0.2030042293
174	0.9353275951	0.2021420805
175	0.9359950452	0.2014636448
176	0.9362983142	0.2009408786
177	0.9368449304	0.2000467151
178	0.9366624	0.1992571152
179	0.9372698555	0.1982000935
180	0.9372195225	0.1975207049
181	0.9376431027	0.1965973425
182	0.9374412316	0.1959806818
183	0.938180523	0.1951676476
184	0.9383032124	0.1944695862
185	0.9386775373	0.1940882728
186	0.9393345763	0.193508099
187	0.9395779811	0.1927796624
188	0.9397704955	0.1923614311
189	0.9399024045	0.191742394
190	0.9414073896	0.1906425672
191	0.9416589613	0.1901222103
192	0.9421443914	0.1896029953
193	0.9419633003	0.1886822477
194	0.9431973681	0.1880187853
195	0.9431075821	0.187240939
196	0.943614561	0.1869953861
197	0.9442389633	0.1864429436
198	0.943995216	0.185963114
199	0.9449662464	0.1851764879
200	0.9450291659	0.1845382502
201	0.9454630812	0.1837709205
202	0.9460166058	0.1829609176
203	0.946987078	0.1826008082
204	0.9461922131	0.1821276392
205	0.9467973637	0.1816711038
206	0.9475243199	0.1810028789
207	0.9470503052	0.1802584342
208	0.9471112416	0.1798451696
209	0.9472331121	0.1795560883
210	0.9471041379	0.1787920853
211	0.9473478525	0.1781809065
212	0.9474697055	0.1775858577
213	0.9471670508	0.1771883147
214	0.9480140088	0.1761192763
215	0.9478941948	0.1756292572
216	0.9491045174	0.1749164894
217	0.950194892	0.1743800608
218	0.9495898851	0.1740109917
219	0.9504973635	0.1734237801
220	0.9506192793	0.1728879321
221	0.9506192793	0.1723314715
