iter	Passed	Remaining
0	40	20286
1	82	20716
2	129	21608
3	174	21839
4	219	21986
5	269	22449
6	323	22984
7	366	22775
8	404	22312
9	460	22806
10	506	22724
11	549	22567
12	598	22657
13	638	22392
14	681	22247
15	728	22266
16	776	22294
17	822	22260
18	869	22243
19	914	22179
20	958	22099
21	1000	21970
22	1047	21951
23	1089	21829
24	1136	21811
25	1177	21700
26	1218	21572
27	1257	21423
28	1298	21310
29	1311	20771
30	1357	20760
31	1399	20681
32	1439	20592
33	1482	20540
34	1531	20566
35	1577	20545
36	1623	20535
37	1665	20471
38	1706	20386
39	1747	20317
40	1790	20265
41	1833	20211
42	1880	20208
43	1928	20203
44	1971	20150
45	2014	20105
46	2057	20047
47	2103	20028
48	2148	19990
49	2194	19972
50	2237	19914
51	2283	19891
52	2335	19919
53	2376	19844
54	2417	19776
55	2457	19704
56	2498	19637
57	2539	19572
58	2586	19552
59	2634	19536
60	2682	19524
61	2724	19464
62	2772	19454
63	2796	19266
64	2840	19226
65	2883	19179
66	2924	19117
67	2971	19097
68	3014	19047
69	3060	19016
70	3104	18974
71	3148	18932
72	3193	18895
73	3236	18851
74	3280	18806
75	3324	18767
76	3371	18739
77	3413	18687
78	3456	18636
79	3506	18627
80	3553	18600
81	3598	18564
82	3643	18523
83	3689	18490
84	3732	18442
85	3777	18406
86	3824	18377
87	3874	18361
88	3922	18333
89	3970	18308
90	4016	18273
91	4059	18222
92	4102	18174
93	4145	18126
94	4190	18083
95	4236	18049
96	4288	18037
97	4334	18001
98	4381	17966
99	4421	17908
100	4469	17878
101	4516	17845
102	4562	17806
103	4612	17786
104	4659	17751
105	4706	17714
106	4747	17660
107	4795	17627
108	4847	17609
109	4889	17557
110	4942	17544
111	5005	17562
112	5061	17558
113	5104	17507
114	5146	17451
115	5187	17396
116	5234	17357
117	5279	17314
118	5327	17281
119	5381	17267
120	5424	17215
121	5465	17159
122	5511	17115
123	5556	17074
124	5604	17036
125	5644	16978
126	5685	16923
127	5728	16871
128	5772	16826
129	5815	16774
130	5858	16726
131	5904	16684
132	5946	16633
133	5989	16582
134	6035	16542
135	6084	16508
136	6128	16462
137	6173	16418
138	6223	16387
139	6270	16347
140	6317	16308
141	6361	16260
142	6405	16216
143	6448	16165
144	6489	16111
145	6530	16057
146	6575	16013
147	6622	15973
148	6668	15932
149	6710	15880
150	6760	15848
151	6805	15804
152	6847	15754
153	6892	15710
154	6940	15671
155	6983	15622
156	7026	15573
157	7069	15526
158	7125	15504
159	7168	15456
160	7212	15409
161	7254	15358
162	7298	15313
163	7340	15263
164	7389	15226
165	7440	15194
166	7480	15141
167	7529	15104
168	7573	15058
169	7617	15011
170	7658	14959
171	7700	14908
172	7740	14855
173	7787	14814
174	7837	14778
175	7881	14733
176	7927	14689
177	7972	14646
178	8015	14597
179	8058	14549
180	8102	14504
181	8144	14455
182	8189	14409
183	8232	14361
184	8278	14319
185	8322	14273
186	8366	14228
187	8427	14209
188	8476	14172
189	8517	14121
190	8559	14071
191	8608	14032
192	8653	13988
193	8699	13946
194	8747	13906
195	8793	13863
196	8842	13824
197	8889	13783
198	8937	13743
199	8990	13710
200	9040	13672
201	9084	13626
202	9128	13580
203	9168	13527
204	9213	13482
205	9257	13437
206	9314	13408
207	9355	13358
208	9400	13313
209	9450	13275
210	9500	13237
211	9542	13188
212	9584	13139
213	9625	13088
214	9668	13041
215	9713	12996
216	9759	12952
217	9799	12901
218	9842	12853
219	9886	12807
220	9927	12757
221	9972	12712
222	10013	12663
223	10067	12629
224	10122	12596
225	10165	12549
226	10208	12501
227	10254	12458
228	10297	12411
229	10338	12361
230	10381	12313
231	10426	12269
232	10473	12226
233	10518	12181
234	10560	12133
235	10601	12084
236	10646	12039
237	10694	11997
238	10737	11950
239	10783	11906
240	10825	11858
241	10874	11817
242	10917	11771
243	10962	11726
244	11010	11684
245	11051	11635
246	11099	11594
247	11146	11550
248	11186	11501
249	11229	11454
250	11274	11409
251	11320	11365
252	11365	11320
253	11414	11279
254	11456	11231
255	11512	11198
256	11554	11150
