iter	Passed	Remaining
0	180	81015
1	212	47555
2	242	36060
3	271	30269
4	314	28002
5	345	25542
6	386	24447
7	422	23363
8	466	22861
9	498	21919
10	535	21358
11	565	20638
12	600	20187
13	633	19734
14	665	19303
15	698	18939
16	732	18658
17	786	18864
18	818	18566
19	853	18340
20	885	18082
21	921	17924
22	950	17652
23	984	17478
24	1026	17455
25	1058	17260
26	1096	17173
27	1127	16993
28	1159	16830
29	1195	16740
30	1226	16578
31	1261	16476
32	1295	16369
33	1337	16361
34	1368	16222
35	1400	16105
36	1438	16061
37	1470	15939
38	1500	15813
39	1538	15772
40	1568	15642
41	1617	15713
42	1649	15614
43	1695	15647
44	1728	15556
45	1758	15447
46	1790	15356
47	1829	15325
48	1863	15254
49	1899	15196
50	1937	15161
51	1973	15108
52	2006	15030
53	2050	15037
54	2080	14942
55	2138	15044
56	2170	14964
57	2209	14932
58	2239	14838
59	2268	14746
60	2307	14714
61	2341	14651
62	2378	14613
63	2409	14533
64	2439	14451
65	2473	14393
66	2508	14340
67	2538	14260
68	2584	14271
69	2615	14198
70	2654	14170
71	2687	14108
72	2722	14061
73	2763	14041
74	2795	13979
75	2840	13978
76	2878	13941
77	2912	13892
78	2943	13824
79	2969	13736
80	2999	13663
81	3032	13607
82	3063	13545
83	3086	13447
84	3120	13400
85	3154	13352
86	3208	13386
87	3237	13316
88	3272	13275
89	3308	13232
90	3338	13171
91	3369	13112
92	3416	13115
93	3448	13062
94	3484	13020
95	3517	12971
96	3548	12912
97	3580	12859
98	3610	12802
99	3646	12763
100	3678	12709
101	3711	12662
102	3755	12651
103	3787	12601
104	3825	12568
105	3836	12451
106	3869	12405
107	3909	12381
108	3942	12334
109	3954	12222
110	3993	12195
111	4024	12143
112	4060	12111
113	4091	12060
114	4121	12007
115	4158	11972
116	4189	11922
117	4224	11886
118	4262	11855
119	4302	11831
120	4333	11783
121	4364	11733
122	4394	11682
123	4424	11631
124	4454	11582
125	4470	11495
126	4500	11447
127	4532	11401
128	4564	11358
129	4595	11312
130	4628	11271
131	4661	11230
132	4691	11182
133	4724	11141
134	4761	11111
135	4795	11072
136	4827	11029
137	4858	10984
138	4892	10947
139	4925	10905
140	4961	10872
141	4991	10827
142	5021	10780
143	5052	10736
144	5087	10702
145	5121	10662
146	5155	10626
147	5186	10582
148	5217	10539
149	5250	10501
150	5280	10456
151	5314	10420
152	5350	10386
153	5384	10350
154	5414	10305
155	5448	10268
156	5478	10223
157	5508	10181
158	5539	10137
159	5576	10107
160	5613	10076
161	5648	10041
162	5680	10002
163	5712	9961
164	5741	9917
165	5774	9878
166	5804	9836
167	5836	9797
168	5866	9754
169	5897	9714
170	5929	9674
171	5960	9634
172	5991	9593
173	6023	9554
174	6054	9513
175	6089	9480
176	6118	9437
177	6153	9403
178	6190	9372
179	6222	9334
180	6255	9296
181	6286	9256
182	6320	9221
183	6352	9182
184	6385	9146
185	6422	9116
186	6460	9086
187	6491	9047
188	6522	9007
189	6554	8969
190	6587	8932
191	6624	8901
192	6663	8873
193	6699	8841
194	6735	8808
195	6771	8774
196	6808	8744
197	6848	8715
198	6888	8687
199	6926	8657
200	6959	8621
201	6994	8587
202	7026	8549
203	7061	8515
204	7103	8489
205	7139	8456
206	7178	8426
207	7211	8390
208	7249	8359
209	7284	8325
210	7323	8295
211	7357	8259
212	7394	8227
213	7427	8191
214	7460	8154
215	7494	8118
216	7543	8099
217	7577	8064
218	7612	8029
219	7644	7992
220	7680	7958
221	7709	7918
222	7741	7880
223	7770	7839
224	7802	7802
225	7834	7764
226	7866	7727
227	7899	7691
228	7931	7654
229	7964	7618
230	7996	7581
231	8026	7541
232	8056	7503
233	8086	7464
234	8116	7425
235	8152	7392
236	8183	7355
237	8213	7316
238	8248	7281
239	8282	7247
240	8313	7209
241	8346	7173
242	8377	7136
243	8408	7099
244	8440	7062
245	8471	7024
246	8500	6986
247	8530	6948
248	8562	6911
249	8605	6884
250	8645	6854
251	8675	6816
252	8709	6781
253	8743	6746
254	8779	6713
255	8809	6676
256	8844	6641
257	8877	6606
258	8906	6568
259	8939	6532
260	8968	6494
