iter	TotalF1	MultiClass
0	0.7440342453	1.036366554
1	0.750845285	0.9847797042
2	0.7573432838	0.9374176266
3	0.7681710525	0.8896253313
4	0.7790042121	0.8544458766
5	0.7830550401	0.8222534194
6	0.7789157426	0.7944187484
7	0.7795507584	0.769568669
8	0.782852342	0.7486851404
9	0.7795705582	0.7297183984
10	0.7846648853	0.71190963
11	0.7824496142	0.6931406459
12	0.7860054113	0.6759932763
13	0.7886296366	0.6630725803
14	0.7909016503	0.6486577239
15	0.7911981971	0.6373871627
16	0.7938294127	0.6255961494
17	0.7932453614	0.6147519595
18	0.7950128332	0.6045455532
19	0.7955961581	0.5919711
20	0.7975263475	0.5813396456
21	0.8008981742	0.5740053674
22	0.8038198327	0.5639485452
23	0.8043888183	0.5566231659
24	0.8052641598	0.5508639087
25	0.8065978928	0.5462177477
26	0.8064490825	0.5423666294
27	0.8068857083	0.535245397
28	0.8088165595	0.5326644733
29	0.808551972	0.5257920571
30	0.8121942827	0.5215457096
31	0.8139470994	0.517402503
32	0.8139388407	0.5133510158
33	0.8131265491	0.5092489082
34	0.814053664	0.5045434121
35	0.8180621751	0.4985763669
36	0.818941871	0.4961216966
37	0.8194142138	0.4926430608
38	0.8192837125	0.4910219705
39	0.8233229345	0.4877731265
40	0.8220028949	0.4837920694
41	0.8228669524	0.4812434534
42	0.8218448076	0.4795336203
43	0.8261003153	0.4768119171
44	0.8242359108	0.475171721
45	0.8266679778	0.4709976397
46	0.8266830897	0.4678495601
47	0.8280119676	0.465013282
48	0.830256511	0.4624529323
49	0.8314979535	0.4615199502
50	0.831835683	0.4604953823
51	0.8312528951	0.4590933426
52	0.8321379543	0.4555637235
53	0.8330580488	0.4520046413
54	0.8319091912	0.4500749938
55	0.8338615281	0.4485951287
56	0.8340962733	0.4474322939
57	0.8348856526	0.4461623308
58	0.8338872077	0.4444081267
59	0.8352945872	0.4435849922
60	0.834391324	0.4427657038
61	0.8347908054	0.441407437
62	0.8365175434	0.440759347
63	0.8377650188	0.4393191137
64	0.8381116987	0.438248758
65	0.8381806767	0.4371486551
66	0.8376866111	0.4354072192
67	0.8381022573	0.434562773
68	0.8362217499	0.4338523567
69	0.8374912215	0.4321902541
70	0.8384765354	0.4306636773
71	0.8388494993	0.4297296228
72	0.8409392585	0.4288727308
73	0.8402508525	0.4286572578
74	0.8406019524	0.4275485608
75	0.8418495988	0.4264563966
76	0.8407107023	0.4249400901
77	0.8426691537	0.4239806898
78	0.8424916059	0.4225795293
79	0.8427276539	0.4217489473
80	0.8424916059	0.4217351413
81	0.8427276539	0.4214199941
82	0.8424002176	0.4208135236
83	0.8430624384	0.4202310046
84	0.8419256473	0.4199127799
85	0.8419256473	0.4177204517
86	0.8404500406	0.4167437223
87	0.8420726501	0.4164329287
88	0.8419940161	0.4153977605
89	0.8424002176	0.4140343872
90	0.8428162075	0.4133388014
91	0.8431534376	0.411825707
92	0.8432321169	0.4113615372
93	0.8427375396	0.4107815597
94	0.8429173768	0.4104805571
95	0.8435692559	0.4098928825
96	0.842929247	0.4088809244
97	0.8438957926	0.4084836658
98	0.8436596309	0.4079421129
99	0.8438957926	0.4076495705
100	0.8434920316	0.4071740318
101	0.8439760333	0.4066193544
102	0.8442325129	0.4055761017
103	0.8447948471	0.40480084
104	0.8470768268	0.4040482077
105	0.8466236652	0.403322817
106	0.8456358821	0.4024799087
107	0.8474921039	0.4016543779
108	0.8471556855	0.4014053915
109	0.8469979644	0.4008032806
110	0.8470768268	0.4002799011
111	0.8463248835	0.3996030413
112	0.8464148405	0.3993765943
113	0.8466512949	0.3987520913
114	0.8477190784	0.3981341672
115	0.8476402532	0.3980004726
116	0.8477190784	0.3977817279
117	0.8479769708	0.3969691935
118	0.8485501413	0.39620765
119	0.8475515136	0.3957373038
120	0.8476303058	0.3952585102
121	0.8489151391	0.394284563
122	0.8492556704	0.3934106259
123	0.8483437074	0.3929865049
124	0.8514680241	0.3922962182
125	0.8507153462	0.3913973273
126	0.852495859	0.3909160817
127	0.8532484833	0.3904363911
128	0.8528326904	0.3893939806
129	0.852495859	0.3890786749
130	0.8525748886	0.3887402894
131	0.8522458019	0.3881040991
132	0.8524038932	0.3876727881
133	0.8533211517	0.3864424178
134	0.8522458019	0.3853946304
135	0.853492501	0.3851135863
136	0.8542441766	0.3843231423
137	0.8543232807	0.3841939213
138	0.8546261103	0.3837291786
139	0.8555353987	0.3832752025
140	0.8556200842	0.3825362052
141	0.854645661	0.3820060317
142	0.8541514771	0.3811377958
143	0.8558113074	0.3799916006
144	0.8562861897	0.3794464867
145	0.8567010429	0.3791322367
146	0.8575809273	0.3787588187
147	0.8571805976	0.3780504678
148	0.8566961694	0.3776705319
149	0.8577259606	0.377321065
150	0.8563600903	0.3766453305
151	0.8561173094	0.3762813143
152	0.8557808195	0.3750329902
153	0.8561963806	0.3745424699
154	0.8574689897	0.3739235111
155	0.858260693	0.3730867
156	0.859091677	0.3726754972
157	0.8593371646	0.3722784161
158	0.8579035835	0.3715814822
159	0.8585564773	0.3711559287
160	0.8597450359	0.3701236327
161	0.8595863946	0.3699056787
162	0.8604811081	0.3693554257
163	0.8618469474	0.3688484722
164	0.8621031101	0.3684834282
165	0.8624386457	0.3681251502
166	0.8624386457	0.3674371599
167	0.8629173693	0.3673054241
168	0.8642828858	0.3666271287
169	0.8642828858	0.366453581
